wza,wza_FL_OD,sbcB,sbcB_FL_OD,ysaB,ysaB_FL_OD,smrB,smrB_FL_OD,seqA,seqA_FL_OD,hypB,hypB_FL_OD,serA,serA_FL_OD,rsmD,rsmD_FL_OD,lrp,lrp_FL_OD,ybaY,ybaY_FL_OD
wza_gfp_ctrl,1210,sbcB_gfp_ctrl,12936,ysaB_gfp_ctrl,1051,smrB_gfp_ctrl,1968,seqA_gfp_ctrl,3021,hypB_gfp_ctrl,6626,serA_gfp_ctrl,3823,rsmD_gfp_ctrl,2757,lrp_gfp_ctrl,2248,ybaY_gfp_ctrl,9450
wza_gfp_ctrl,1650,sbcB_gfp_ctrl,15619,ysaB_gfp_ctrl,624,smrB_gfp_ctrl,1791,seqA_gfp_ctrl,2239,hypB_gfp_ctrl,10334,serA_gfp_ctrl,2692,rsmD_gfp_ctrl,2447,lrp_gfp_ctrl,3465,ybaY_gfp_ctrl,6896
wza_gfp_ctrl,1800,sbcB_gfp_ctrl,15680,ysaB_gfp_ctrl,1622,smrB_gfp_ctrl,2644,seqA_gfp_ctrl,2836,hypB_gfp_ctrl,9878,serA_gfp_ctrl,1937,rsmD_gfp_ctrl,3041,lrp_gfp_ctrl,5344,ybaY_gfp_ctrl,7119
wza_gfp_MicF,1131,sbcB_gfp_MicF,12044,ysaB_gfp_MicF,2379,smrB_gfp_MicF,NA,seqA_gfp_MicF,NA,hypB_gfp_MicF,5366,serA_gfp_MicF,1957,rsmD_gfp_MicF,2239,lrp_gfp_MicF,2194,ybaY_gfp_MicF,6957
wza_gfp_MicF,423,sbcB_gfp_MicF,7651,ysaB_gfp_MicF,2243,smrB_gfp_MicF,3802,seqA_gfp_MicF,3289,hypB_gfp_MicF,8934,serA_gfp_MicF,2426,rsmD_gfp_MicF,2785,lrp_gfp_MicF,3572,ybaY_gfp_MicF,5611
wza_gfp_MicF,1985,sbcB_gfp_MicF,11564,ysaB_gfp_MicF,2644,smrB_gfp_MicF,3871,seqA_gfp_MicF,1836,hypB_gfp_MicF,9185,serA_gfp_MicF,2656,rsmD_gfp_MicF,2091,lrp_gfp_MicF,2083,ybaY_gfp_MicF,5668
